id,collection_id,indicator_id,preset,tiles,source_layer,path,label,color,_color_,fill,fill_pattern,line,sourceLabel,shortDescription,skip
mun_sao_cristovao_malha_sitios_arqueolog_2022.geom,mun_sao_cristovao_test,mun_sao_cristovao_test,vector_circle,${VECTOR_TILE_SERVER_ENDPOINT}/mun_sao_cristovao_malha_sitios_arqueolog_2022.geom/{z}/{x}/{y},mun_sao_cristovao_malha_sitios_arqueolog_2022.geom,São Cristóvão / _ / Áreas Protegidas,Sítios Arqueológicos,schemePaired.colors.2,#e109ff,,,,IPHAN (2022),"Base de dados do Plano de Gestão Integrada de Desenvolvimento de São Cristóvão (PGID, 2025) ","['$not', ['$eq', '2806701', ['$get', 'municipioId']]]"
mun_sao_cristovao_malha_edificacoes_2025.geom,mun_sao_cristovao_test,mun_sao_cristovao_test,vector_polygon,${VECTOR_TILE_SERVER_ENDPOINT}/mun_sao_cristovao_malha_edificacoes_2025.geom/{z}/{x}/{y},mun_sao_cristovao_malha_edificacoes_2025.geom,São Cristóvão / _ / Base Cadastral,Edificações,#292929,#292929,,,,PMSC (2025),Prefeitura de São Cristóvão (2025) - Cadastro Imobilário Municipal,"['$not', ['$eq', '2806701', ['$get', 'municipioId']]]"
mun_sao_cristovao_malha_localidades_2023.geom,mun_sao_cristovao_test,mun_sao_cristovao_test,vector_circle,${VECTOR_TILE_SERVER_ENDPOINT}/mun_sao_cristovao_malha_localidades_2023.geom/{z}/{x}/{y},mun_sao_cristovao_malha_localidades_2023.geom,São Cristóvão / _ / Base Cadastral,Localidades,#000000,#000000,,,,PMSC (2023),Prefeitura Municipal de São Cristóvão (2025) - Adaptado do IBGE (2023),"['$not', ['$eq', '2806701', ['$get', 'municipioId']]]"
mun_sao_cristovao_malha_lotes_2025.geom,mun_sao_cristovao_test,mun_sao_cristovao_test,vector_line,${VECTOR_TILE_SERVER_ENDPOINT}/mun_sao_cristovao_malha_lotes_2025.geom/{z}/{x}/{y},mun_sao_cristovao_malha_lotes_2025.geom,São Cristóvão / _ / Base Cadastral,Lotes,#50535a,#50535a,,,,PMSC (2025),Prefeitura de São Cristóvão (2025) - Cadastro Imobilário Municipal,"['$not', ['$eq', '2806701', ['$get', 'municipioId']]]"
mun_sao_cristovao_malha_quadras_2025.geom,mun_sao_cristovao_test,mun_sao_cristovao_test,vector_polygon,${VECTOR_TILE_SERVER_ENDPOINT}/mun_sao_cristovao_malha_quadras_2025.geom/{z}/{x}/{y},mun_sao_cristovao_malha_quadras_2025.geom,São Cristóvão / _ / Base Cadastral,Quadras,#575757,#575757,,,,PMSC (2025),Prefeitura de São Cristóvão (2025) - Cadastro Imobilário Municipal,"['$not', ['$eq', '2806701', ['$get', 'municipioId']]]"
mun_sao_cristovao_malha_areas_risco_2023.geom,mun_sao_cristovao_test,mun_sao_cristovao_test,vector_polygon,${VECTOR_TILE_SERVER_ENDPOINT}/mun_sao_cristovao_malha_areas_risco_2023.geom/{z}/{x}/{y},mun_sao_cristovao_malha_areas_risco_2023.geom,São Cristóvão / _ / Emergências Climáticas,Áreas de Risco,schemePaired.colors.2,schemePaired.colors.2,,,,PMSC (2023),Prefeitura Municipal de São Cristóvão (2023) - Base de dados do Plano Local de Habitação de Interesse Social - PLHIS (2023),"['$not', ['$eq', '2806701', ['$get', 'municipioId']]]"
mun_sao_cristovao_malha_cemiterios_2025.geom,mun_sao_cristovao_test,mun_sao_cristovao_test,vector_circle,${VECTOR_TILE_SERVER_ENDPOINT}/mun_sao_cristovao_malha_cemiterios_2025.geom/{z}/{x}/{y},mun_sao_cristovao_malha_cemiterios_2025.geom,São Cristóvão / _ / Equipamentos e Serviços,Cemitérios,schemePaired.colors.11,schemePaired.colors.11,,,,PMSC (2025),"Prefeitura Municipal de São Cristóvão (2025) - Base de dados do Plano de Gestão Integrada de Desenvolvimento de São Cristóvão (PGID, 2025)","['$not', ['$eq', '2806701', ['$get', 'municipioId']]]"
mun_sao_cristovao_malha_edificio_publico_2025.geom,mun_sao_cristovao_test,mun_sao_cristovao_test,vector_circle,${VECTOR_TILE_SERVER_ENDPOINT}/mun_sao_cristovao_malha_edificio_publico_2025.geom/{z}/{x}/{y},mun_sao_cristovao_malha_edificio_publico_2025.geom,São Cristóvão / _ / Equipamentos e Serviços,Edifícios Públicos,schemePaired.colors.0,schemePaired.colors.0,,,,PMSC (2025),"Prefeitura Municipal de São Cristóvão (2025) - Base de dados do Plano de Gestão Integrada de Desenvolvimento de São Cristóvão (PGID, 2025)","['$not', ['$eq', '2806701', ['$get', 'municipioId']]]"
mun_sao_cristovao_malha_escolas_2023.geom,mun_sao_cristovao_test,mun_sao_cristovao_test,vector_circle,${VECTOR_TILE_SERVER_ENDPOINT}/mun_sao_cristovao_malha_escolas_2023.geom/{z}/{x}/{y},mun_sao_cristovao_malha_escolas_2023.geom,São Cristóvão / _ / Equipamentos e Serviços,Estabelecimentos de Ensino Regular,schemePaired.colors.1,schemePaired.colors.1,,,,PMSC (2023),"Prefeitura Municipal de São Cristóvão (2023) - Adaptado do INEP (2023) - Base de dados do Plano de Gestão Integrada de Desenvolvimento de São Cristóvão (PGID, 2025)","['$not', ['$eq', '2806701', ['$get', 'municipioId']]]"
mun_sao_cristovao_malha_universidades_2025.geom,mun_sao_cristovao_test,mun_sao_cristovao_test,vector_circle,${VECTOR_TILE_SERVER_ENDPOINT}/mun_sao_cristovao_malha_universidades_2025.geom/{z}/{x}/{y},mun_sao_cristovao_malha_universidades_2025.geom,São Cristóvão / _ / Equipamentos e Serviços,Estabelecimentos de Ensino Superior,schemePaired.colors.6,schemePaired.colors.6,,,,PMSC (2025),"Prefeitura Municipal de São Cristóvão (2025) - Base de dados do Plano de Gestão Integrada de Desenvolvimento de São Cristóvão (PGID, 2025)","['$not', ['$eq', '2806701', ['$get', 'municipioId']]]"
