ordering,keywords,collection_id,source_table_id,variable_id,indicator_id,preset,year,indicator_path,Tema,indicator_label,Subtema,variant_label,variant_path,_measure_unit_prev,measure_unit,is_default_variable,description,metodology
1,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_uf,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código da Unidade da Federação,
2,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_bairro,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código de bairro,
3,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,situacao_setor,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código de situação do setor,
4,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_distrito,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código do distrito,
5,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_municipio,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código do município,
6,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_setor,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código do setor,
7,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,cod_subdistrito,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Código do subdistrito,
8,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,nome_uf,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Nome da Unidade da Federação,
9,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,nome_bairro,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Nome do bairro,
10,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_abs,nome_distrito,,cem_censo_2010_2022,2010,Básico / 2010 / Características do setor,Básico,,Características do setor,,,,,,Nome do distrito,
