ordering,keywords,collection_id,source_table_id,colorScheme,variable_id_BKUP,variable_id,skip,indicator_id_BKUP,indicator_id,classificationMethod,preset,year,indicator_path,Tema,Subtema,indicator_label,is_default_variable,variant_label,measure_unit,variant_path,description,metodology,metodology_BACKUP_2026_04_07
43,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,total_pessoas_por_km2,cn22_pop04_res_tot_kmtot_2,,total_pessoas_por_km2,cn22_pop04_res_tot_kmtot_2,quantile(5),cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes,População e domicílios,Pessoas Residentes,Pessoas residentes,sim,Total de residentes,Pessoas residentes por km²,Total,Quantidade de moradores,https://georedus.github.io/metadata/cem/cn22/cn22_pop04_res_tot_kmtot_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop04_res_tot_kmtot_2.md
44,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,pop_bas_mor_cor_ama_pct,cn22_pop01_res_cor_ama_2,,total_pessoas_por_km2,cn22_pop01_res_cor_ama_2,,cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes / Por Cor ou Raça,População e domicílios,Pessoas Residentes / Por Cor ou Raça,Pessoas amarelas,sim,Pessoas amarelas,Porcentagem em relação ao total de pessoas residentes,Cor (ou raça),Cor ou raça é amarela,https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_ama_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop01_res_cor_ama_2.md
49,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,pop_bas_mor_cor_sex_neg_fem_pct,cn22_pop01_res_corsex_ama_f_2,,total_pessoas_por_km2,cn22_pop01_res_cor_ama_2,,cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes / Por Cor ou Raça,População e domicílios,Pessoas Residentes / Por Cor ou Raça,Mulheres,,Mulheres amarelas,Porcentagem em relação ao total de pessoas residentes,Cor e Sexo,"Sexo feminino, Cor ou raça é amarela",https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_ama_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop01_res_cor_ama_2.md
54,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,pop_bas_mor_cor_sex_neg_mas_pct,cn22_pop01_res_corsex_ama_m_2,,total_pessoas_por_km2,cn22_pop01_res_cor_ama_2,,cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes / Por Cor ou Raça,População e domicílios,Pessoas Residentes / Por Cor ou Raça,Homens,,Homens amarelos,Porcentagem em relação ao total de pessoas residentes,Cor e Sexo,"Sexo masculino, Cor ou raça é amarela",https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_ama_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop01_res_cor_ama_2.md
45,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,pop_bas_mor_cor_bra_pct,cn22_pop01_res_cor_bra_2,,total_pessoas_por_km2,cn22_pop01_res_cor_bra_2,,cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes / Por Cor ou Raça,População e domicílios,Pessoas Residentes / Por Cor ou Raça,Pessoas brancas,sim,Pessoas brancas,Porcentagem em relação ao total de pessoas residentes,Cor (ou raça),Cor ou raça é branca,https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_bra_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop01_res_cor_bra_2.md
50,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,pop_bas_mor_cor_sex_bra_fem_pct,cn22_pop01_res_corsex_bra_f_2,,total_pessoas_por_km2,cn22_pop01_res_cor_bra_2,,cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes / Por Cor ou Raça,População e domicílios,Pessoas Residentes / Por Cor ou Raça,Mulheres,,Mulheres brancas,Porcentagem em relação ao total de pessoas residentes,Cor e Sexo,"Sexo feminino, Cor ou raça é branca",https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_bra_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop01_res_cor_bra_2.md
55,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,pop_bas_mor_cor_sex_bra_mas_pct,cn22_pop01_res_corsex_bra_m_2,,total_pessoas_por_km2,cn22_pop01_res_cor_bra_2,,cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes / Por Cor ou Raça,População e domicílios,Pessoas Residentes / Por Cor ou Raça,Homens,,Homens brancos,Porcentagem em relação ao total de pessoas residentes,Cor e Sexo,"Sexo masculino, Cor ou raça é branca",https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_bra_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop01_res_cor_bra_2.md
46,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,pop_bas_mor_cor_ind_pct,cn22_pop01_res_cor_ind_2,,total_pessoas_por_km2,cn22_pop01_res_cor_ind_2,,cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes / Por Cor ou Raça,População e domicílios,Pessoas Residentes / Por Cor ou Raça,Pessoas indígenas,sim,Pessoas indígenas,Porcentagem em relação ao total de pessoas residentes,Cor (ou raça),Cor ou raça é indígena,https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_ind_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop01_res_cor_ind_2.md
51,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,pop_bas_mor_cor_sex_ama_fem_pct,cn22_pop01_res_corsex_ind_f_2,,total_pessoas_por_km2,cn22_pop01_res_cor_ind_2,,cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes / Por Cor ou Raça,População e domicílios,Pessoas Residentes / Por Cor ou Raça,Mulheres,,Mulheres indígenas,Porcentagem em relação ao total de pessoas residentes,Cor e Sexo,"Sexo feminino, Cor ou raça é indígena",https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_ind_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop01_res_cor_ind_2.md
56,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,pop_bas_mor_cor_sex_ama_mas_pct,cn22_pop01_res_corsex_ind_m_2,,total_pessoas_por_km2,cn22_pop01_res_cor_ind_2,,cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes / Por Cor ou Raça,População e domicílios,Pessoas Residentes / Por Cor ou Raça,Homens,,Homens indígenas,Porcentagem em relação ao total de pessoas residentes,Cor e Sexo,"Sexo masculino, Cor ou raça é indígena",https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_ind_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop01_res_cor_ind_2.md
47,,ibge_malha_br_setor_censitario_2022,cem_censo_2022_populacao,schemeOranges,pop_bas_mor_cor_neg_pct,cn22_pop01_res_cor_neg_2,,total_pessoas_por_km2,cn22_pop01_res_cor_neg_2,,cem_censo_2022,2022,População e domicílios / 2022 / Pessoas Residentes / Por Cor ou Raça,População e domicílios,Pessoas Residentes / Por Cor ou Raça,Pessoas negras,sim,Pessoas negras,Porcentagem em relação ao total de pessoas residentes,Cor (ou raça),Cor ou raça é preta ou parda,https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_neg_2/metadata.md,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/censo/2022/cn22_pop01_res_cor_neg_2.md
